ug/L,MicroGramsPerLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/L,Active,Most Common Healthcare Units,12/8/2005,MicroGramsPerLiter,L-3M,26
ug/mL,MicroGramsPerMilliLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,ug/mL,Active,Most Common Healthcare Units,12/8/2005,MicroGramsPerMilliLiter,L-3M,27
umol/L,MicroMolesPerLiter [Most Common Healthcare Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,umol/L,Active,Most Common Healthcare Units,12/8/2005,MicroMolesPerLiter,L-3N,28
[lg],Log10 [Unity],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,log 10,Active,Unity,8/24/2005,Log10,1,29
10*6/{Specimen},MillionPerSpecimen [Unity],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,x10^6/spec,Active,Unity,8/24/2005,MillionPerSpecimen,1,30
/{tot},PerTotalCount [Unity],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/Total,Active,Unity,8/24/2005,PerTotalCount,1,31
10*3,Thousand [Unity],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,x10^3,Active,Unity,8/24/2005,Thousand,1,32
10*3.{RBC},ThousandRedBloodCells [Unity],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,x10^3 RBCs,Active,Unity,8/24/2005,ThousandRedBloodCells,1,33
10*5,OneHundredThousand [Unity],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,x10^5,Active,Unity,8/24/2005,OneHundredThousand,1,34
10*6,Million [Unity],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,x10^6,Active,Unity,8/24/2005,Million,1,35
10*8,TenToEighth [Unity],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,x10^8,Active,Unity,8/24/2005,TenToEighth,1,36
%,Percent [General Fraction Unit],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,%,Active,General Fraction Unit,8/24/2005,Percent,1,37
{Relative}%,RelativePercent [General Fraction Unit],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,Relative %,Active,General Fraction Unit,8/24/2005,RelativePercent,1,38
%{Total},PercentTotal [General Fraction Unit],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% of Total,Active,General Fraction Unit,8/24/2005,PercentTotal,1,39
%{0to3Hours},Percent0to3Hours [General Fraction Unit],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% 0-3 h,Active,General Fraction Unit,8/24/2005,Percent0to3Hours,1,40
/10*10,PerTenGiga [Number Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/10^10,Active,Number Fraction Units,8/24/2005,PerTenGiga,1,41
/10*6,PerMillion [Number Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/10^6,Active,Number Fraction Units,8/24/2005,PerMillion,1,42
/10*9,PerBillion [Number Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/10^9,Active,Number Fraction Units,8/24/2005,PerBillion,1,43
/10*12,PerTrillion [Number Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,/10^12,Active,Number Fraction Units,8/24/2005,PerTrillion,1,44
%{Normal},PercentNormal [Number Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% Normal,Active,Number Fraction Units,8/24/2005,PercentNormal,1,45
%{SpermMotility},PercentSpermMotility [Number Fraction Units],PH_UnitsOfMeasure_UCUM_Expression,,7/1/2004,% Sperm Motility,Active,Number Fraction Units,8/24/2005,PercentSpermMotility,1,46
